USPS	GEOID	NAME	LOGRADE	HIGRADE	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                        
NH	3305430	Northwood School District	PK	12	72922464	5423417	28.156	2.094	43.211856	-71.223393                                                                                                           
NH	3305460	Nottingham School District	KG	12	120424460	5020638	46.496	1.938	43.129847	-71.131859                                                                                                         
NH	3305670	Piermont School District	KG	12	99568962	3595946	38.444	1.388	43.961851	-72.001293                                                                                                            
NH	3305760	Plainfield School District	KG	12	135235705	2008396	52.215	0.775	43.543835	-72.295541                                                                                                         
NH	3305790	Plymouth School District	PK	08	72526822	1263552	28.003	0.488	43.743912	-71.726744                                                                                                            
NH	3305970	Rollinsford School District	KG	12	18834782	765350	7.272	0.296	43.219815	-70.843107                                                                                                           
NH	3306000	Rumney School District	KG	08	107996877	2370881	41.698	0.915	43.834707	-71.774335                                                                                                             
NH	3306030	Rye School District	PK	12	32739160	62493987	12.641	24.129	43.033467	-70.719223                                                                                                               
NH	3306150	Seabrook School District	PK	08	23267391	1945826	8.984	0.751	42.883123	-70.860823                                                                                                             
NH	3306270	South Hampton School District	KG	12	20801288	64377	8.031	0.025	42.889802	-70.959546                                                                                                          
NH	3306330	Stark School District	KG	12	152311638	2369236	58.808	0.915	44.595126	-71.403249                                                                                                              
NH	3306360	Stewartstown School District	KG	12	119788013	1573229	46.25	0.607	44.96067	-71.406991                                                                                                         
NH	3306390	Stoddard School District	KG	12	131918604	5483409	50.934	2.117	43.076314	-72.113952                                                                                                           
NH	3306420	Strafford School District	KG	12	126938127	5714820	49.011	2.207	43.275384	-71.169956                                                                                                          
NH	3306450	Stratford School District	KG	12	205205114	1369278	79.23	0.529	44.715053	-71.530115                                                                                                           
NH	3306480	Stratham School District	PK	05	39183926	885471	15.129	0.342	43.014993	-70.902602                                                                                                             
NH	3306600	Tamworth School District	KG	12	154236628	2845308	59.551	1.099	43.864038	-71.296068                                                                                                           
NH	3306660	Thornton School District	KG	08	129736257	1565393	50.091	0.604	43.947877	-71.635785                                                                                                           
NH	3306750	Unity School District	KG	12	95692301	651921	36.947	0.252	43.299305	-72.274568                                                                                                                
NH	3306780	Wakefield School District	PK	12	102624094	13627118	39.623	5.261	43.584355	-71.004846                                                                                                         
NH	3306870	Warren School District	KG	12	125684808	1216936	48.527	0.47	43.965803	-71.859117                                                                                                              
NH	3306900	Washington School District	KG	12	117939126	5586513	45.537	2.157	43.190068	-72.093879                                                                                                         
NH	3306910	Waterville Valley School District	KG	12	166607348	331910	64.327	0.128	43.942835	-71.448115                                                                                                   
NH	3306930	Weare School District	PK	08	152981932	2681923	59.067	1.035	43.078057	-71.703708                                                                                                              
NH	3306990	Wentworth School District	KG	08	107651028	1333405	41.564	0.515	43.858721	-71.923718                                                                                                          
NH	3307020	Westmoreland School District	KG	12	92736883	2674930	35.806	1.033	42.968075	-72.430856                                                                                                        
NH	3307140	Winchester School District	PK	12	142430273	1456116	54.993	0.562	42.789314	-72.395238                                                                                                         
NJ	3400690	Alexandria Township School District	PK	08	71310733	564192	27.533	0.218	40.594532	-75.026566                                                                                                  
NJ	3400750	Allendale Borough School District	PK	08	8021453	53624	3.097	0.021	41.032669	-74.133826                                                                                                       
NJ	3401020	Atlantic Highlands Borough School District	PK	06	3273925	8543208	1.264	3.299	40.411771	-74.019836                                                                                            
NJ	3401200	Bass River Township School District	PK	06	194570457	8516937	75.124	3.288	39.658362	-74.448106                                                                                                
NJ	3401290	Beach Haven Borough School District	PK	06	2536565	3495605	0.979	1.35	39.576031	-74.251791                                                                                                    
NJ	3401380	Bellmawr Borough School District	PK	08	7729299	315734	2.984	0.122	39.866356	-75.09467                                                                                                        
NJ	3401560	Berkeley Township School District	PK	06	110628101	29878662	42.714	11.536	39.912906	-74.193095                                                                                                
NJ	3401590	Berlin Borough School District	PK	08	9307772	35573	3.594	0.014	39.792059	-74.936985                                                                                                          
NJ	3401710	Bethlehem Township School District	PK	08	53567035	301358	20.682	0.116	40.665036	-75.011935                                                                                                   
NJ	3401800	Blairstown Township School District	PK	06	174596945	5964309	67.412	2.303	41.002014	-75.002637                                                                                                
NJ	3402550	Byram Township School District	PK	08	55695682	3122327	21.504	1.206	40.960335	-74.712904                                                                                                      
NJ	3402610	Califon Borough School District	PK	08	2483423	53055	0.959	0.02	40.719471	-74.836915                                                                                                          
