USPS	GEOID	ANSICODE	NAME	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                               
VA	51790	01789075	Staunton city	51593821	147694	19.92	0.057	38.157978	-79.061876                                                                                                                        
VA	51800	01498560	Suffolk city	1033802704	77061976	399.153	29.754	36.697157	-76.634781                                                                                                                  
VA	51810	01498559	Virginia Beach city	633832297	654683626	244.724	252.775	36.779985	-76.025209                                                                                                          
VA	51820	01498443	Waynesboro city	38771454	364648	14.97	0.141	38.067157	-78.90142                                                                                                                       
VA	51830	01789076	Williamsburg city	23155310	416905	8.94	0.161	37.269481	-76.708193                                                                                                                     
VA	51840	01789077	Winchester city	23809490	54462	9.193	0.021	39.173869	-78.176356                                                                                                                       
WA	53001	01531601	Adams County	4985698857	12464425	1924.989	4.813	47.011238	-118.512861                                                                                                                 
WA	53003	01533502	Asotin County	1647443920	11275730	636.082	4.354	46.181861	-117.227781                                                                                                                 
WA	53005	01513302	Benton County	4402941863	154661532	1699.985	59.715	46.228125	-119.516659                                                                                                              
WA	53007	01531932	Chelan County	7565788664	189679750	2921.167	73.236	47.860974	-120.619041                                                                                                              
WA	53009	01531341	Clallam County	4503162162	2413868443	1738.681	932.	48.110903	-123.88986                                                                                                               
WA	53011	01531820	Clark County	1627765163	70227847	628.484	27.115	45.77173	-122.485957                                                                                                                  
WA	53013	01513273	Columbia County	2249624728	12561762	868.585	4.85	46.29285	-117.911634                                                                                                                 
WA	53015	01529156	Cowlitz County	2954137364	66903698	1140.599	25.832	46.196785	-122.67846                                                                                                               
WA	53017	01531818	Douglas County	4711869855	76507217	1819.263	29.54	47.741763	-119.694622                                                                                                               
WA	53019	01531821	Ferry County	5706360675	140294376	2203.238	54.168	48.473256	-118.533589                                                                                                               
WA	53021	01531822	Franklin County	3215718499	60508752	1241.596	23.363	46.53458	-118.906944                                                                                                              
WA	53023	01533500	Garfield County	1841054898	19294817	710.835	7.45	46.429478	-117.536711                                                                                                                
WA	53025	01531924	Grant County	6939853494	289961880	2679.493	111.955	47.213633	-119.467788                                                                                                              
WA	53027	01531823	Grays Harbor County	4924421612	834689898	1901.33	322.276	47.113732	-123.826735                                                                                                        
WA	53029	01513272	Island County	540043252	799821240	208.512	308.813	48.158554	-122.670649                                                                                                               
WA	53031	01531936	Jefferson County	4671590207	995036034	1803.711	384.186	47.805346	-123.527136                                                                                                          
WA	53033	01531933	King County	5478600963	497675093	2115.3	192.153	47.490599	-121.833996                                                                                                                 
WA	53035	01529223	Kitsap County	1023381117	442114809	395.13	170.701	47.639687	-122.649636                                                                                                               
WA	53037	01531926	Kittitas County	5949976986	92436008	2297.299	35.69	47.124441	-120.676709                                                                                                              
WA	53039	01529219	Klickitat County	4847515948	84930626	1871.636	32.792	45.870446	-120.779305                                                                                                            
WA	53041	01531927	Lewis County	6223151022	86954132	2402.772	33.573	46.580071	-122.377444                                                                                                                
WA	53043	01514052	Lincoln County	5984421210	75265961	2310.598	29.06	47.582743	-118.417692                                                                                                               
WA	53045	01529221	Mason County	2484892348	237296354	959.422	91.621	47.354126	-123.17385                                                                                                                 
WA	53047	01531928	Okanogan County	13639353722	120408325	5266.184	46.49	48.548453	-119.742235                                                                                                            
WA	53049	01513274	Pacific County	2415872165	760845729	932.773	293.764	46.556587	-123.782419                                                                                                             
WA	53051	01529157	Pend Oreille County	3626638411	65380079	1400.253	25.243	48.543825	-117.232191                                                                                                         
WA	53053	01529159	Pierce County	4319603700	356508318	1667.808	137.649	47.051415	-122.153242                                                                                                             
WA	53055	01531931	San Juan County	450429070	1157427866	173.912	446.885	48.50719	-123.103769                                                                                                             
WA	53057	01531402	Skagit County	4481247129	483851713	1730.219	186.816	48.493292	-121.81577                                                                                                              
WA	53059	01529220	Skamania County	4294888152	73332455	1658.266	28.314	46.024785	-121.953232                                                                                                             
WA	53061	01529222	Snohomish County	5404058573	282912328	2086.519	109.233	48.070464	-121.936784                                                                                                          
WA	53063	01529225	Spokane County	4568452137	43434945	1763.889	16.77	47.620375	-117.403371                                                                                                               
WA	53065	01531930	Stevens County	6416419681	163008896	2477.394	62.938	48.388727	-117.854454                                                                                                             
WA	53067	01529226	Thurston County	1871237475	133647532	722.489	51.602	46.935822	-122.830152                                                                                                             
WA	53069	01513275	Wahkiakum County	680956809	61588406	262.919	23.779	46.294638	-123.424458                                                                                                              
WA	53071	01531819	Walla Walla County	3289368965	74933659	1270.033	28.932	46.254606	-118.48037                                                                                                           
WA	53073	01529224	Whatcom County	5459429045	1028151220	2107.897	396.971	48.842653	-121.836432                                                                                                           
WA	53075	01533501	Whitman County	5592461099	48248821	2159.261	18.629	46.905944	-117.53539                                                                                                               
WA	53077	01531929	Yakima County	11122757280	41168174	4294.521	15.895	46.456558	-120.740145                                                                                                              
WV	54001	01696996	Barbour County	883338385	4639585	341.059	1.791	39.139725	-79.996947                                                                                                                   
WV	54003	01550008	Berkeley County	831770845	1057606	321.149	0.408	39.447938	-78.037754                                                                                                                  
WV	54005	01550009	Boone County	1298967363	4305986	501.534	1.663	38.022814	-81.713538                                                                                                                    
WV	54007	01550010	Braxton County	1322996994	14144348	510.812	5.461	38.69933	-80.73166                                                                                                                   
WV	54009	01558262	Brooke County	231034123	8714140	89.203	3.365	40.272645	-80.578691                                                                                                                     
WV	54011	01550012	Cabell County	727837363	18122713	281.02	6.997	38.419578	-82.243397                                                                                                                    
WV	54013	01696945	Calhoun County	723252961	3704011	279.25	1.43	38.844159	-81.115478                                                                                                                     
WV	54015	01550014	Clay County	885617251	4862446	341.939	1.877	38.459826	-81.081866                                                                                                                      
WV	54017	01689476	Doddridge County	828078082	1950863	319.723	0.753	39.26348	-80.701232                                                                                                                  
WV	54019	01560095	Fayette County	1713569368	17443841	661.613	6.735	38.030933	-81.086051                                                                                                                 
WV	54021	01689673	Gilmer County	876717626	4082112	338.503	1.576	38.915867	-80.849413                                                                                                                    
WV	54023	01697238	Grant County	1236390677	7545525	477.373	2.913	39.105988	-79.195064                                                                                                                    
WV	54025	01557518	Greenbrier County	2641303496	12164253	1019.813	4.697	37.924418	-80.45059                                                                                                              
WV	54027	01718644	Hampshire County	1658615872	10920938	640.395	4.217	39.312139	-78.611989                                                                                                               
WV	54029	01560574	Hancock County	213957187	13879294	82.609	5.359	40.516958	-80.570164                                                                                                                   
WV	54031	01718557	Hardy County	1508194692	5617193	582.317	2.169	39.011361	-78.841729                                                                                                                    
WV	54033	01718426	Harrison County	1077454931	1320319	416.008	0.51	39.279182	-80.386498                                                                                                                  
WV	54035	01559963	Jackson County	1202683279	18830744	464.359	7.271	38.834234	-81.677717                                                                                                                 
WV	54037	01550025	Jefferson County	542073029	6150169	209.296	2.375	39.307398	-77.86322                                                                                                                  
WV	54039	01550026	Kanawha County	2335215681	24056472	901.632	9.288	38.328068	-81.523516                                                                                                                 
WV	54041	01550027	Lewis County	1002141357	7038763	386.929	2.718	38.988877	-80.495477                                                                                                                    
WV	54043	01550028	Lincoln County	1131929489	4019060	437.04	1.552	38.17177	-82.077623                                                                                                                    
WV	54045	01550029	Logan County	1175211133	4828688	453.752	1.864	37.830591	-81.940853                                                                                                                    
WV	54047	01689162	McDowell County	1381646841	3733280	533.457	1.441	37.382727	-81.658183                                                                                                                 
WV	54049	01718173	Marion County	799642788	7185842	308.744	2.774	39.505839	-80.243402                                                                                                                    
WV	54051	01717539	Marshall County	791063494	17411506	305.431	6.723	39.854426	-80.671794                                                                                                                 
WV	54053	01560254	Mason County	1115682322	36125498	430.767	13.948	38.770914	-82.029007                                                                                                                  
WV	54055	01557645	Mercer County	1085114764	4433724	418.965	1.712	37.403448	-81.106456                                                                                                                   
WV	54057	01717890	Mineral County	849172613	3503402	327.867	1.353	39.404781	-78.95669                                                                                                                    
WV	54059	01550036	Mingo County	1095926622	2177833	423.14	0.841	37.721161	-82.158989                                                                                                                     
WV	54061	01550037	Monongalia County	932631310	14993106	360.091	5.789	39.633645	-80.059074                                                                                                               
WV	54063	01557702	Monroe County	1224426755	2297599	472.754	0.887	37.554062	-80.550329                                                                                                                   
WV	54065	01557950	Morgan County	593295474	1401571	229.073	0.541	39.555002	-78.257345                                                                                                                    
WV	54067	01550040	Nicholas County	1675324341	19580622	646.846	7.56	38.291432	-80.797515                                                                                                                 
WV	54069	01717163	Ohio County	274098954	8274294	105.83	3.195	40.098932	-80.620728                                                                                                                       
WV	54071	01550042	Pendleton County	1802759655	5429034	696.049	2.096	38.67445	-79.340617                                                                                                                 
WV	54073	01678557	Pleasants County	337007574	11468022	130.119	4.428	39.368133	-81.161172                                                                                                                
WV	54075	01550044	Pocahontas County	2435361700	3939156	940.298	1.521	38.332606	-80.010121                                                                                                               
WV	54077	01558642	Preston County	1680419589	6668879	648.814	2.575	39.46903	-79.668865                                                                                                                   
WV	54079	01550046	Putnam County	895302729	12226547	345.678	4.721	38.510513	-81.906109                                                                                                                   
WV	54081	01550047	Raleigh County	1567869620	10331212	605.358	3.989	37.762469	-81.264672                                                                                                                 
WV	54083	01550048	Randolph County	2692810852	667359	1039.7	0.258	38.781095	-79.867788                                                                                                                   
WV	54085	01689049	Ritchie County	1170648846	4424611	451.99	1.708	39.177112	-81.066317                                                                                                                   
WV	54087	01550050	Roane County	1252422375	404682	483.563	0.156	38.743003	-81.354522                                                                                                                     
WV	54089	01557805	Summers County	933906813	18501543	360.583	7.143	37.655999	-80.856325                                                                                                                  
WV	54091	01689856	Taylor County	447475055	7532835	172.771	2.908	39.332478	-80.046554                                                                                                                    
WV	54093	01689423	Tucker County	1085319217	5304609	419.044	2.048	39.111175	-79.559968                                                                                                                   
WV	54095	01678706	Tyler County	663818549	11382159	256.302	4.395	39.465634	-80.877219                                                                                                                    
WV	54097	01696800	Upshur County	918506891	302703	354.638	0.117	38.90253	-80.231606                                                                                                                      
